employee_id,name,date,hours,station,manager,dot_regulated,phone,email
A014,DA 014,2026-09-01,9.2,DVA5,Manager A,no,,
A014,DA 014,2026-09-02,9.5,DVA5,Manager A,no,,
A014,DA 014,2026-09-03,9.2,DVA5,Manager A,no,,
A027,DA 027,2026-09-01,10.8,DVA5,Manager A,no,,
A027,DA 027,2026-09-02,10.7,DVA5,Manager A,no,,
A027,DA 027,2026-09-03,10.9,DVA5,Manager A,no,,
A042,DA 042,2026-08-31,9.7,DMD2,Manager B,no,,
A042,DA 042,2026-09-01,9.8,DMD2,Manager B,no,,
A042,DA 042,2026-09-02,9.8,DMD2,Manager B,no,,
A042,DA 042,2026-09-03,9.8,DMD2,Manager B,no,,
A053,DA 053,2026-08-31,10.9,DMD2,Manager B,no,,
A053,DA 053,2026-09-01,11.0,DMD2,Manager B,no,,
A053,DA 053,2026-09-02,10.8,DMD2,Manager B,no,,
A053,DA 053,2026-09-03,11.0,DMD2,Manager B,no,,
D008,DOT DA 08,2026-08-31,9.0,DVA5,Manager C,yes,,
D008,DOT DA 08,2026-09-01,9.0,DVA5,Manager C,yes,,
D008,DOT DA 08,2026-09-02,9.0,DVA5,Manager C,yes,,
D008,DOT DA 08,2026-09-03,9.0,DVA5,Manager C,yes,,
